pressure,nn_distance
6.493,1.0278381181234837
6.493,1.8645363118307867
6.493,8.442995683027744
6.493,5.801980489287885
6.493,9.007507714610481
6.493,9.27991239355072
6.493,3.347031726066351
6.493,2.5618805813180128
6.493,5.772229738810693
6.493,3.664759500175134
6.493,4.148984486375489
6.493,3.279265151275945
6.493,6.132797268625044
6.493,5.057873183957879
6.493,2.221843748912782
6.493,9.704014847317838
6.493,3.3217088309483147
6.493,8.259846857214441
6.493,4.900514397577466
6.493,3.114742513335334
6.493,2.9772836116461625
6.493,4.231897650627617
6.493,9.02546229134502
6.493,2.2318633122142844
6.493,5.688245191743349
6.493,7.277648865268323
6.493,1.3312013476200755
6.493,7.2783316376882246
6.493,3.34898723372144
6.493,4.32835350886599
6.493,3.380595738155512
6.493,6.876851482279019
6.493,7.991856495136622
6.493,1.4947778159472334
6.493,5.335470398995544
6.493,2.4634043162997967
6.493,3.344833593248868
6.493,5.925507274917746
6.493,4.536372970228735
6.493,5.605201777826545
6.493,8.805229856967806
6.493,6.978241114614068
6.493,5.310556964714133
6.493,3.7017155583569017
6.493,4.5603491000971825
6.493,7.417275375790292
6.493,1.34811730755191
6.493,3.9279574228677334
6.493,2.1194924626405185
6.493,4.635713680437558
6.493,3.4783824398527674
6.493,4.632549546424795
6.493,2.2983607907449533
6.493,3.3491297094553354
6.493,6.769653248761478
6.493,9.620141905446964
6.493,2.296580650468936
6.493,2.457855873019422
6.493,4.244283240775094
6.493,4.664687884441942
6.493,2.559363215645382
6.493,3.125983091586831
6.493,1.2995137661038616
6.493,14.636309147074865
6.493,4.382068325396352
6.493,3.8827290170366586
6.493,2.5440715081012586
6.493,6.051744815756541
6.493,3.95257034821905
6.493,5.213262172002136
6.493,6.981945942578329
6.493,6.3077469561329265
6.493,7.518895178291799
6.493,4.271597554749219
6.493,2.8758951114838878
6.493,7.067492863675297
6.493,4.572440779632617
6.493,0.26495205207113476
6.493,6.142578180180786
6.493,7.994850937835513
6.493,4.906234517643562
